Brown, Seth,664913,2021,307,194,.214,.225,-0.011,.480,.462,0.018,.315,.318,-0.003
Allen, Greg,656185,2021,48,25,.270,.213,0.057,.432,.301,0.131,.375,.317,0.058
Cain, Lorenzo,456715,2021,286,210,.257,.253,0.004,.401,.380,0.021,.319,.317,0.002
Rivera, Emmanuel,656896,2021,98,69,.256,.280,-0.024,.333,.377,-0.044,.289,.317,-0.028
Díaz, Elias,553869,2021,371,279,.246,.249,-0.003,.464,.426,0.038,.330,.317,0.013
Torrens, Luis,620443,2021,378,250,.243,.245,-0.002,.431,.427,0.004,.311,.317,-0.006
Gordon, Nick,624503,2021,216,146,.240,.266,-0.026,.355,.418,-0.063,.283,.317,-0.034
Adams, Riley,656180,2021,120,59,.222,.195,0.027,.384,.363,0.021,.332,.317,0.015
Almonte, Abraham,501659,2021,175,111,.216,.227,-0.011,.399,.355,0.044,.321,.317,0.004
Sandoval, Pablo,467055,2021,86,48,.178,.203,-0.025,.342,.390,-0.048,.291,.317,-0.026
Smith, Pavin,656976,2021,545,393,.267,.258,0.009,.404,.403,0.001,.318,.316,0.002
Hays, Austin,669720,2021,529,385,.256,.245,0.011,.461,.432,0.029,.328,.316,0.012
Bohm, Alec,664761,2021,417,273,.247,.264,-0.017,.342,.396,-0.054,.285,.316,-0.031
Gamel, Ben,592325,2021,400,241,.247,.230,0.017,.388,.373,0.015,.322,.316,0.006
Zimmer, Bradley,605548,2021,348,181,.227,.224,0.003,.344,.371,-0.027,.300,.316,-0.016
Yastrzemski, Mike,573262,2021,532,341,.224,.221,0.003,.457,.430,0.027,.326,.316,0.010
Luplow, Jordan,656669,2021,193,106,.202,.188,0.014,.454,.397,0.057,.337,.316,0.021
Lamb, Jake,571875,2021,170,95,.194,.216,-0.022,.368,.393,-0.025,.298,.316,-0.018
Williams, Justin,642211,2021,137,73,.160,.241,-0.081,.261,.406,-0.145,.229,.316,-0.087
Castro, Harold,605612,2021,339,252,.283,.287,-0.004,.359,.414,-0.055,.291,.315,-0.024
Edman, Tommy,669242,2021,691,552,.262,.273,-0.011,.387,.399,-0.012,.301,.315,-0.014
Stallings, Jacob,607732,2021,427,291,.246,.245,0.001,.369,.369,0.000,.312,.315,-0.003
Happ, Ian,664023,2021,535,312,.226,.218,0.008,.434,.393,0.041,.328,.315,0.013
Polanco, Gregory,570256,2021,382,240,.208,.231,-0.023,.354,.409,-0.055,.275,.315,-0.040
Stewart, DJ,621466,2021,318,181,.204,.205,-0.001,.374,.383,-0.009,.310,.315,-0.005
Moran, Colin,592567,2021,359,234,.258,.244,0.014,.390,.390,0.000,.318,.314,0.004
Mondesi, Adalberto,609275,2021,136,86,.230,.231,-0.001,.452,.469,-0.017,.306,.314,-0.008
Ford, Mike,645801,2021,72,37,.133,.180,-0.047,.283,.409,-0.126,.254,.314,-0.060
Mercedes, Yermín,606213,2021,262,195,.271,.246,0.025,.404,.417,-0.013,.317,.313,0.004
Cabrera, Miguel,408234,2021,526,363,.256,.231,0.025,.386,.415,-0.029,.305,.313,-0.008
McNeil, Jeff,643446,2021,426,329,.251,.255,-0.004,.360,.385,-0.025,.301,.313,-0.012
Adrianza, Ehire,501303,2021,209,144,.247,.248,-0.001,.401,.368,0.033,.316,.313,0.003
Taylor, Tyrone,621438,2021,271,185,.247,.240,0.007,.457,.402,0.055,.333,.313,0.020
Frazier, Clint,640449,2021,218,118,.186,.207,-0.021,.317,.354,-0.037,.289,.313,-0.024
Estrada, Thairo,642731,2021,132,98,.273,.239,0.034,.479,.421,0.058,.346,.312,0.034
Flores, Wilmer,527038,2021,436,336,.262,.238,0.024,.447,.398,0.049,.337,.312,0.025
McCormick, Chas,676801,2021,320,187,.257,.224,0.033,.447,.424,0.023,.327,.312,0.015
Arenado, Nolan,571448,2021,653,504,.255,.248,0.007,.494,.420,0.074,.336,.312,0.024
Adell, Jo,666176,2021,140,99,.246,.254,-0.008,.408,.409,-0.001,.303,.312,-0.009
d'Arnaud, Travis,518595,2021,229,157,.220,.248,-0.028,.388,.406,-0.018,.291,.312,-0.021
Evans, Phillip,595943,2021,247,161,.206,.244,-0.038,.299,.344,-0.045,.278,.312,-0.034
Bote, David,623520,2021,327,222,.199,.230,-0.031,.330,.398,-0.068,.268,.312,-0.044
DeJong, Paul,657557,2021,402,255,.197,.211,-0.014,.390,.416,-0.026,.293,.312,-0.019
Schoop, Jonathan,570731,2021,674,498,.278,.257,0.021,.435,.404,0.031,.324,.311,0.013
Ruiz, Keibert,660688,2021,96,79,.273,.263,0.010,.409,.381,0.028,.325,.311,0.014
Barrera, Tres,668663,2021,107,69,.264,.243,0.021,.385,.340,0.045,.333,.311,0.022
Walker, Christian,572233,2021,445,297,.244,.249,-0.005,.382,.386,-0.004,.304,.311,-0.007
Davis, Khris,501981,2021,114,73,.206,.218,-0.012,.363,.414,-0.051,.274,.311,-0.037
