Zac Gallen,ARI,9.77,3.60,2.71,0.77,27.0%,9.9%,17.0%,.189,1.09,.244,79.9%,2.31,3.33,-1.02,3.87,19291
Tyler Glasnow,TBR,13.79,3.45,4.00,1.44,37.2%,9.3%,27.9%,.190,1.09,.266,81.5%,3.45,3.35,0.10,2.94,14374
Blake Treinen,LAD,5.84,3.65,1.60,0.00,15.1%,9.4%,5.7%,.239,1.30,.282,47.1%,3.65,3.35,0.30,4.14,12572
J.B. Wendelken,OAK,13.50,5.91,2.29,0.84,36.4%,15.9%,20.5%,.167,1.22,.250,77.6%,2.53,3.38,-0.85,3.24,14506
Josh Lindblom,MIL,11.90,4.12,2.89,0.92,31.7%,11.0%,20.7%,.222,1.27,.318,60.3%,5.49,3.39,2.10,3.64,7882
Anthony Bass,TOR,6.75,2.45,2.75,0.61,20.8%,7.5%,13.2%,.143,0.75,.162,62.5%,1.84,3.40,-1.56,4.22,7982
Zach Davies,SDP,7.65,2.63,2.91,0.72,21.6%,7.4%,14.2%,.206,1.04,.245,69.0%,2.39,3.40,-1.01,4.26,13183
Jon Lester,CHC,6.08,3.16,1.92,0.24,15.8%,8.2%,7.6%,.224,1.22,.265,72.4%,3.41,3.41,0.00,5.35,4930
Dallas Keuchel,CHW,5.72,2.52,2.27,0.46,15.3%,6.7%,8.6%,.238,1.19,.272,88.2%,1.60,3.42,-1.82,4.33,9434
Tyler Clippard,MIN,11.08,2.08,5.33,1.38,34.0%,6.4%,27.7%,.114,0.62,.115,76.9%,2.77,3.42,-0.65,3.65,5640
Kyle Cody,TEX,8.25,3.00,2.75,0.75,23.9%,8.7%,15.2%,.190,1.00,.233,84.9%,1.50,3.44,-1.94,5.09,19686
Hansel Robles,LAA,10.80,3.86,2.80,0.77,26.9%,9.6%,17.3%,.244,1.37,.323,44.9%,6.94,3.45,3.49,4.65,11801
Adrian Morejon,SDP,10.03,0.77,13.00,1.54,31.0%,2.4%,28.6%,.220,0.86,.269,100.0%,1.54,3.45,-1.91,2.87,20039
Keegan Akin,BAL,12.41,2.92,4.25,1.46,27.9%,6.6%,21.3%,.345,1.86,.447,44.6%,7.30,3.52,3.78,3.60,19362
German Marquez,COL,7.83,2.68,2.92,0.82,21.2%,7.3%,14.0%,.201,1.05,.234,74.3%,2.06,3.53,-1.47,3.98,15038
Brett Anderson,MIL,7.33,1.93,3.80,0.77,19.4%,5.1%,14.3%,.242,1.16,.286,68.7%,3.86,3.58,0.28,3.87,8223
Trevor Rogers,MIA,12.50,3.00,4.17,1.50,32.5%,7.8%,24.7%,.271,1.39,.372,72.1%,5.00,3.58,1.42,2.81,22286
Lou Trivino,OAK,11.15,3.52,3.17,1.17,32.2%,10.2%,22.0%,.170,0.98,.219,90.2%,2.35,3.58,-1.23,3.14,15043
Rafael Dolis,TOR,11.37,4.97,2.29,0.71,29.6%,13.0%,16.7%,.217,1.34,.310,78.3%,1.42,3.59,-2.17,4.23,4185
Rick Porcello,NYM,7.26,2.32,3.13,0.87,18.1%,5.8%,12.3%,.292,1.48,.343,62.2%,4.94,3.61,1.32,4.53,2717
Spencer Howard,PHI,10.32,3.97,2.60,0.79,26.0%,10.0%,16.0%,.262,1.41,.333,64.1%,5.56,3.63,1.93,4.19,23252
Dane Dunning,CHW,7.36,3.68,2.00,0.61,18.5%,9.2%,9.2%,.237,1.36,.283,69.9%,4.30,3.67,0.63,4.62,19409
Miguel Castro,- - -,16.20,4.50,3.60,1.80,37.5%,10.4%,27.1%,.279,1.70,.435,84.5%,4.50,3.69,0.81,2.63,15684
Mark Melancon,ATL,6.17,1.54,4.00,0.77,17.8%,4.4%,13.3%,.220,0.94,.242,75.5%,2.31,3.71,-1.39,3.91,4264
Adam Wainwright,STL,9.38,2.63,3.57,1.13,26.0%,7.3%,18.8%,.205,1.04,.250,82.6%,3.00,3.73,-0.73,3.55,2233
Aaron Nola,PHI,12.22,3.13,3.91,1.42,30.1%,7.7%,22.4%,.262,1.42,.354,67.5%,4.26,3.76,0.50,3.05,16149
